ingredient_name,category,unit,unit_cost,supplier,is_retail_saleable,is_wholesale_saleable,is_online_saleable,retail_price,wholesale_price,online_price,owner_site_id
1883 - Strawberry Syrup,,L,9.5,JW Pikes,true,false,false,,,,
1883 Syrup - Mango,,ea,9.5,JW Pikes,true,false,false,,,,
Alchemy Chai Con,Beverage,ml,0.0266,JW Pikes,true,false,false,,,,
Allspice,Food,g,0.023,Albion,false,true,false,,,,
Almond Cookie,Cookie,ea,1.5,CPU - Okja - Kitchen CPU,true,true,true,3.5,1.5,4,
Almond extract,Food,ml,0.061,Albion,false,true,false,,,,
Almond Swirl,Swirls,ea,2.5,CPU - Okja - Kitchen CPU,true,true,true,4.5,2.5,4.95,
Almonds Flaked,Food,g,0.0079,JW Pikes,false,true,false,,,,
Almonds Ground,Food,g,0.0073,JW Pikes,false,true,false,,,,
Apple Pectin,Food,g,0.0671,Albion,false,true,false,,,,
"Apple Slices, Frozen",,kg,3.41,Albion,true,true,false,,,,
Applewood Cheese,Food,g,0.0183,Albion,false,true,false,,,,
"Avocado Diced, Frozen",,kg,8.42,Albion,true,false,false,,,,
Baking Powder,Food,g,0.0024,JW Pikes,false,true,false,,,,
Basil,Food,g,0.0189,Albion,false,true,false,,,,
Bicarb of Soda,Food,g,0.0018,JW Pikes,false,true,false,,,,
Blanched peanut,Food,g,0.0499,JW Pikes,false,true,false,,,,
Bonsoy Soy milk,Beverage,case,2.6317,JW Pikes,true,false,false,,,,
Brown Butter Choc Cookie,Cookie,ea,1.5,CPU - Okja - Kitchen CPU,true,true,true,3.5,1.5,3.5,
Califia Oat Milk 6x1ltr,Beverage - Coffee,case,1.2917,JW Pikes,true,false,false,,,,
Can0 Sparkling Cano water,Beverage,case,0.4792,JW Pikes,true,false,false,,,,
Can0 Still Cano water,Beverage,case,0.4792,JW Pikes,true,false,false,,,,
Canned peppers,Food,g,0.0035,Albion,false,true,false,,,,
Caramel Syrup,Beverage - Coffee,btl,9.5,JW Pikes,true,false,false,,,,
Cardomom Ground,Food,g,0.0431,JW Pikes,false,true,false,,,,
Cashew pieces,Food,g,0.0047,JW Pikes,false,true,false,,,,
Caster Sugar,Food,g,0.0007,JW Pikes,false,true,false,,,,
Choc Hazelnut Swirl,Swirls,ea,2.5,CPU - Okja - Kitchen CPU,true,true,true,4.5,2.5,4.95,
Chocolate 54%,Food,g,0.0145,JW Pikes,false,true,false,,,,
Chocolate 70%,Food,g,0.0159,JW Pikes,false,true,false,,,,
Chocolate choc Batons,Food,g,0.0125,JW Pikes,false,true,false,,,,
Cinna Swirl,Swirls,ea,2.5,CPU - Okja - Kitchen CPU,true,true,true,4.5,2.5,4.95,
Cinnamon Ground,Food,g,0.0081,JW Pikes,false,true,false,,,,
