name,recipe_type,Site,code,yield_quantity,yield_unit,total_cost,cost_per_portion,sell_price,gp_percent,is_active,is_archived,ingredient_count,ingredients
Almond cookie,dish,CPU,,1,ea,0.3376,,0.34,100,TRUE,FALSE,0,
Almond Frangipane,prep,CPU,,3852,g,23.3602,,22.58,100,TRUE,FALSE,0,
Almond Swirl,dish,CPU,,1,portion,0.4457,,0.44,100,TRUE,FALSE,0,
Americano,dish,KIOSK,,1,portion,0.462,,0.81,100,TRUE,FALSE,0,
Apple Puree,prep,CPU,,3155,g,6.3,,6.27,100,TRUE,FALSE,0,
Bananabread smoothie,dish,KIOSK,,1,portion,0.4961,,0.74,100,FALSE,FALSE,0,
Berry Blush Smoothie,dish,KIOSK,,1,portion,1.581,,1.3,100,TRUE,FALSE,0,
Black Coconut Smoothie,dish,KIOSK,,1,portion,1.1209,,0.99,100,TRUE,FALSE,0,
Blended Golden Latte,dish,KIOSK,,1,ea,0.121,,0.15,100,TRUE,FALSE,0,
Blended Iced Latte,dish,KIOSK,,1,portion,0.428,,3.48,100,TRUE,FALSE,0,
Blended Iced Matcha,dish,KIOSK,,1,portion,1.377,,1.65,100,TRUE,FALSE,0,
Blended Iced Mocha,dish,KIOSK,,1,ea,0.7055,,0.73,100,TRUE,FALSE,0,
Blueberry Cheesecake Smoothie,dish,KIOSK,,1,portion,1.3345,,1.57,100,FALSE,FALSE,0,
Brown Butter Cookie,dish,CPU,,1,portion,0.4286,,0.43,100,TRUE,FALSE,0,
Brownie,dish,CPU,,1,ea,0.4909,,0.49,100,TRUE,FALSE,0,
Cappuccino,dish,KIOSK,,1,portion,0.438,,0.66,100,TRUE,FALSE,0,
Choc Hazelnut Swirl,dish,CPU,,1,portion,0.4925,,0.49,100,TRUE,FALSE,0,
Cinna swirl,dish,CPU,,1,portion,0.2542,,0.26,100,TRUE,FALSE,0,
Citrus Frosting,prep,CPU,,1080,g,3.6189,,3.62,100,TRUE,FALSE,0,
Cortado,dish,KIOSK,,1,portion,0.39,,0.54,100,TRUE,FALSE,0,
Croissant,dish,CPU,,1,portion,0.1203,,0.12,100,TRUE,FALSE,0,
Date Paste,prep,CPU,,2852,g,5.3886,,8.97,100,TRUE,FALSE,0,
Dough,prep,CPU,,1,portion,1.4643,,1.47,100,TRUE,FALSE,0,
Drink Recipes - Variants,dish,KIOSK,,1,portion,0,,,,TRUE,FALSE,0,
Earl grey filling,prep,CPU,,518,g,1.6916,,2.89,100,TRUE,FALSE,0,
Earl Grey Morning Bun,dish,CPU,,1,portion,0.168,,0.17,100,TRUE,FALSE,0,
Espresso,dish,KIOSK,,1,portion,0.318,,0.37,100,TRUE,FALSE,0,
Fermented dough,prep,CPU,,95,g,0.1308,,0.13,100,TRUE,FALSE,0,
Flat White,dish,KIOSK,,1,portion,0.426,,0.56,100,TRUE,FALSE,0,
Flourless choc & pecan cookie,dish,CPU,,1,portion,0.8051,,0.65,100,TRUE,FALSE,0,
Ginger Bread Matcha,dish,KIOSK,,1,ea,0.76,,0.91,100,TRUE,FALSE,0,
gingerbread,dish,CPU,,1,ea,0.1061,,0.11,100,TRUE,FALSE,0,
GingerBread  Latte,dish,KIOSK,,1,ea,0.549,,0.7,100,TRUE,FALSE,0,
Gingerbread syrup,prep,KIOSK,,1200,g,2.9845,,2.99,100,FALSE,FALSE,0,
Golden spice mix,prep,KIOSK,,442,g,1.1571,,2.74,100,TRUE,FALSE,0,
Golden Sunshine Smoothie,dish,KIOSK,,1,portion,1.8655,,1.49,100,TRUE,FALSE,0,
Green Glow Smoothie,dish,KIOSK,,1,portion,1.4095,,1.57,100,TRUE,FALSE,0,
Green Julius Smoothie,dish,KIOSK,,1,portion,0.8082,,,,FALSE,FALSE,0,
Hojichai,dish,KIOSK,,1,ea,0.3775,,0.38,100,TRUE,FALSE,0,
Hot Choc - Long,dish,KIOSK,,1,portion,0.434,,0.59,100,TRUE,FALSE,0,
